Prompt,Response
"Attention, incident occurred at Blankenship Flat Road, near lamp post #866. There's debris scattered around. someone appears seriously injured, involving a pedestrian, a car, a bus. Bystanders are unsure what to do.","Location of the incident: Blankenship Flat Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 866
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a pedestrian, a car, a bus
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: injured"
"Attention, incident occurred at Skinner Road Road, around Sentosa near lamp post #283. There's a tree blocking the road. a few injuries spotted, involving a car. Bystanders are unsure what to do.","Location of the incident: Skinner Road Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 283
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a car
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Just saw something happen on Gray Trail Road, close to Gardens by the Bay near lamp post #593. There's oil spilled all over. nobody seems hurt, involving a pedestrian, a motorcycle, a bus. People helping out.","Location of the incident: Gray Trail Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 593
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a pedestrian, a motorcycle, a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Just saw something happen on Madeline Parkways Road, near Changi Airport near lamp post #879. There's a tree blocking the road. someone appears seriously injured, involving a pedestrian, a bicycle, a car. Observers are calling for help.","Location of the incident: Madeline Parkways Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 879
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a pedestrian, a bicycle, a car
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"Attention, incident occurred at Kristin Ports Road, near Changi Airport near lamp post #845. There's a huge fire breakout. a few injuries spotted, involving a bus, a motorcycle. .","Location of the incident: Kristin Ports Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 845
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bus, a motorcycle
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Kathleen Skyway Road, by Marina Bay Sands near lamp post #834. There's debris scattered around. , involving a bicycle, a pedestrian, a motorcycle. People helping out.","Location of the incident: Kathleen Skyway Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 834
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bicycle, a pedestrian, a motorcycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Attention, incident occurred at Anthony Motorway Road, by Marina Bay Sands near lamp post #87. There's a huge fire breakout. , involving a car. Bystanders are unsure what to do.","Location of the incident: Anthony Motorway Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 87
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a car
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Watch out, crash on Smith Mountains Road, by Marina Bay Sands near lamp post #431. There's debris scattered around. someone appears seriously injured, involving a bus. Observers are calling for help.","Location of the incident: Smith Mountains Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 431
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"This just in, accident at Tamara Spurs Road, by Marina Bay Sands near lamp post #15. There's a tree blocking the road. , involving a car. .","Location of the incident: Tamara Spurs Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 15
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a car
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Emergency reported on Farmer Summit Road, around Sentosa near lamp post #101. There's a huge fire breakout. a few injuries spotted, involving a bus, a pedestrian, a motorcycle. People helping out.","Location of the incident: Farmer Summit Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 101
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bus, a pedestrian, a motorcycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Attention, incident occurred at Walker Wells Road, near lamp post #92. There's a huge fire breakout. someone appears seriously injured, involving a pedestrian, a bus, a car. People helping out.","Location of the incident: Walker Wells Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 92
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a pedestrian, a bus, a car
Actions taken by bystanders: People helping out
State of casualties involved in the accident: injured"
"This just in, accident at Richard Ferry Road, around Sentosa near lamp post #845. There's a tree blocking the road. someone appears seriously injured, involving a motorcycle, a bicycle. Bystanders are unsure what to do.","Location of the incident: Richard Ferry Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 845
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a motorcycle, a bicycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: injured"
"Uh oh, there's an accident on Sarah Expressway Road, close to Gardens by the Bay near lamp post #383. There's a huge fire breakout. , involving a bicycle. People helping out.","Location of the incident: Sarah Expressway Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 383
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bicycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Katherine Loop Road, close to Gardens by the Bay near lamp post #304. There's a tree blocking the road. someone appears seriously injured, involving a bicycle, a motorcycle, a pedestrian. People helping out.","Location of the incident: Katherine Loop Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 304
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bicycle, a motorcycle, a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: injured"
"Just saw something happen on Roger Key Road, near lamp post #164. There's a huge fire breakout. nobody seems hurt, involving a pedestrian, a bus, a bicycle. Bystanders are unsure what to do.","Location of the incident: Roger Key Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 164
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a pedestrian, a bus, a bicycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Emergency reported on Joseph Lane Road, around Sentosa near lamp post #281. There's . someone appears seriously injured, involving a motorcycle, a bus. Observers are calling for help.","Location of the incident: Joseph Lane Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 281
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a motorcycle, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"Attention, incident occurred at Jones Spurs Road, by Marina Bay Sands near lamp post #528. There's oil spilled all over. a few injuries spotted, involving a car. .","Location of the incident: Jones Spurs Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 528
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"This just in, accident at Robinson Square Road, by Marina Bay Sands near lamp post #575. There's a huge fire breakout. , involving a bus. .","Location of the incident: Robinson Square Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 575
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Attention, incident occurred at Benjamin Gateway Road, by Marina Bay Sands near lamp post #388. There's oil spilled all over. a few injuries spotted, involving a bus. .","Location of the incident: Benjamin Gateway Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 388
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Daniel Meadow Road, around Sentosa near lamp post #450. There's debris scattered around. a few injuries spotted, involving a pedestrian, a bus, a bicycle. Observers are calling for help.","Location of the incident: Daniel Meadow Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 450
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a pedestrian, a bus, a bicycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"This just in, accident at Baker Extension Road, around Sentosa near lamp post #243. There's a tree blocking the road. a few injuries spotted, involving a car, a pedestrian. .","Location of the incident: Baker Extension Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 243
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a car, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Owens Haven Road, by Marina Bay Sands near lamp post #84. There's debris scattered around. someone appears seriously injured, involving a motorcycle, a pedestrian. People helping out.","Location of the incident: Owens Haven Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 84
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a motorcycle, a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: injured"
"This just in, accident at Jennifer Plaza Road, near lamp post #751. There's debris scattered around. , involving a pedestrian, a bicycle. Bystanders are unsure what to do.","Location of the incident: Jennifer Plaza Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 751
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a pedestrian, a bicycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Watch out, crash on Michael Station Road, around Sentosa near lamp post #177. There's oil spilled all over. nobody seems hurt, involving a car, a bicycle, a bus. .","Location of the incident: Michael Station Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 177
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car, a bicycle, a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Attention, incident occurred at Blevins Island Road, near lamp post #15. There's oil spilled all over. nobody seems hurt, involving a pedestrian. .","Location of the incident: Blevins Island Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 15
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Just saw something happen on Christopher Square Road, near lamp post #803. There's a tree blocking the road. someone appears seriously injured, involving a pedestrian, a bicycle. People helping out.","Location of the incident: Christopher Square Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 803
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a pedestrian, a bicycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: injured"
"This just in, accident at Thompson Run Road, around Sentosa near lamp post #554. There's a tree blocking the road. someone appears seriously injured, involving a bus, a bicycle, a pedestrian. .","Location of the incident: Thompson Run Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 554
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bus, a bicycle, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"Just saw something happen on Murphy Spring Road, around Sentosa near lamp post #610. There's debris scattered around. someone appears seriously injured, involving a bus, a car, a pedestrian. People helping out.","Location of the incident: Murphy Spring Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 610
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bus, a car, a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: injured"
"This just in, accident at George Plains Road, close to Gardens by the Bay near lamp post #218. There's debris scattered around. , involving a bicycle. .","Location of the incident: George Plains Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 218
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bicycle
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"This just in, accident at Cruz Mill Road, around Sentosa near lamp post #317. There's . , involving a bus, a pedestrian. .","Location of the incident: Cruz Mill Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 317
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bus, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Just saw something happen on Horne Tunnel Road, near lamp post #243. There's a tree blocking the road. , involving a bicycle. Observers are calling for help.","Location of the incident: Horne Tunnel Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 243
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bicycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Watch out, crash on Isaac Knolls Road, close to Gardens by the Bay near lamp post #218. There's a tree blocking the road. , involving a bus, a pedestrian. Observers are calling for help.","Location of the incident: Isaac Knolls Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 218
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bus, a pedestrian
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Just saw something happen on Lindsay Lock Road, by Marina Bay Sands near lamp post #297. There's debris scattered around. someone appears seriously injured, involving a bus. .","Location of the incident: Lindsay Lock Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 297
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"Watch out, crash on Tina Course Road, close to Gardens by the Bay near lamp post #284. There's oil spilled all over. someone appears seriously injured, involving a bicycle, a bus, a motorcycle. Bystanders are unsure what to do.","Location of the incident: Tina Course Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 284
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bicycle, a bus, a motorcycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: injured"
"Emergency reported on Harris Keys Road, around Sentosa near lamp post #121. There's debris scattered around. nobody seems hurt, involving a pedestrian, a motorcycle. People helping out.","Location of the incident: Harris Keys Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 121
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a pedestrian, a motorcycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Emergency reported on Shaffer Villages Road, close to Gardens by the Bay near lamp post #323. There's debris scattered around. a few injuries spotted, involving a car, a pedestrian, a bus. Observers are calling for help.","Location of the incident: Shaffer Villages Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 323
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car, a pedestrian, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Howard Road Road, around Sentosa near lamp post #68. There's oil spilled all over. someone appears seriously injured, involving a bicycle, a car. .","Location of the incident: Howard Road Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 68
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bicycle, a car
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"Uh oh, there's an accident on Mark Plains Road, by Marina Bay Sands near lamp post #409. There's . , involving a bus, a car. .","Location of the incident: Mark Plains Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 409
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bus, a car
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Just saw something happen on Maria Wells Road, near Changi Airport near lamp post #922. There's debris scattered around. a few injuries spotted, involving a bus, a motorcycle. Observers are calling for help.","Location of the incident: Maria Wells Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 922
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bus, a motorcycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Watch out, crash on Robyn Oval Road, near Changi Airport near lamp post #484. There's a huge fire breakout. nobody seems hurt, involving a bus. People helping out.","Location of the incident: Robyn Oval Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 484
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Turner Views Road, near Changi Airport near lamp post #217. There's debris scattered around. a few injuries spotted, involving a car, a pedestrian. People helping out.","Location of the incident: Turner Views Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 217
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car, a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Green Lake Road, close to Gardens by the Bay near lamp post #294. There's oil spilled all over. someone appears seriously injured, involving a motorcycle, a bicycle, a pedestrian. Observers are calling for help.","Location of the incident: Green Lake Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 294
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a motorcycle, a bicycle, a pedestrian
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
